Marker_1,Marker_2,Marker_3,Marker_4,Marker_5,Marker_6,Marker_7,Marker_8,Marker_9,Marker_10,GT,MV,DS,GLAD,MACE,n_annotators,WSI,ano,split
0,-1,-1,-1,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0464_row_30720_column_26624,CasoHEProstata_A_0464_row_30720_column_26624,train
-1,0,-1,-1,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0464_row_40960_column_65536,CasoHEProstata_A_0464_row_40960_column_65536,train
-1,-1,0,-1,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0465_row_16384_column_135168,CasoHEProstata_A_0465_row_16384_column_135168,train
0,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0465_row_24576_column_137216,CasoHEProstata_A_0465_row_24576_column_137216,train
-1,-1,0,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0465_row_24576_column_20480,CasoHEProstata_A_0465_row_24576_column_20480,train
-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0465_row_34816_column_116736,CasoHEProstata_A_0465_row_34816_column_116736,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0466_row_40960_column_51200,CasoHEProstata_A_0466_row_40960_column_51200,train
-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0466_row_43008_column_55296,CasoHEProstata_A_0466_row_43008_column_55296,train
0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0466_row_47104_column_6144,CasoHEProstata_A_0466_row_47104_column_6144,train
0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,3,3,2,CasoHEProstata_A_0466_row_47104_column_8192,CasoHEProstata_A_0466_row_47104_column_8192,train
1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0466_row_59392_column_57344,CasoHEProstata_A_0466_row_59392_column_57344,train
1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0467_row_28672_column_112640,CasoHEProstata_A_0467_row_28672_column_112640,train
2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0467_row_28672_column_114688,CasoHEProstata_A_0467_row_28672_column_114688,train
1,-1,-1,0,0,-1,1,-1,-1,-1,1,1,0,0,0,4,CasoHEProstata_A_0467_row_30720_column_112640,CasoHEProstata_A_0467_row_30720_column_112640,train
1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0467_row_30720_column_118784,CasoHEProstata_A_0467_row_30720_column_118784,train
1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_32768_column_106496,CasoHEProstata_A_0467_row_32768_column_106496,train
1,1,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_32768_column_108544,CasoHEProstata_A_0467_row_32768_column_108544,train
1,-1,1,0,-1,1,1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_32768_column_110592,CasoHEProstata_A_0467_row_32768_column_110592,train
-1,-1,1,0,1,-1,2,-1,-1,-1,1,1,1,1,0,4,CasoHEProstata_A_0467_row_32768_column_112640,CasoHEProstata_A_0467_row_32768_column_112640,train
-1,-1,-1,0,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0467_row_32768_column_71680,CasoHEProstata_A_0467_row_32768_column_71680,train
-1,-1,-1,-1,1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0467_row_32768_column_73728,CasoHEProstata_A_0467_row_32768_column_73728,train
1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_34816_column_100352,CasoHEProstata_A_0467_row_34816_column_100352,train
-1,-1,0,0,0,0,2,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0467_row_34816_column_102400,CasoHEProstata_A_0467_row_34816_column_102400,train
1,0,1,-1,-1,2,1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_34816_column_28672,CasoHEProstata_A_0467_row_34816_column_28672,train
-1,-1,-1,0,-1,1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0467_row_34816_column_67584,CasoHEProstata_A_0467_row_34816_column_67584,train
1,-1,1,0,0,1,-1,-1,-1,-1,1,1,1,1,0,5,CasoHEProstata_A_0467_row_34816_column_69632,CasoHEProstata_A_0467_row_34816_column_69632,train
-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0467_row_34816_column_75776,CasoHEProstata_A_0467_row_34816_column_75776,train
1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0467_row_36864_column_30720,CasoHEProstata_A_0467_row_36864_column_30720,train
-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,1,1,1,4,CasoHEProstata_A_0467_row_36864_column_63488,CasoHEProstata_A_0467_row_36864_column_63488,train
-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0467_row_36864_column_65536,CasoHEProstata_A_0467_row_36864_column_65536,train
-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0467_row_36864_column_67584,CasoHEProstata_A_0467_row_36864_column_67584,train
-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0467_row_36864_column_73728,CasoHEProstata_A_0467_row_36864_column_73728,train
1,1,1,-1,0,1,-1,-1,-1,-1,1,1,1,1,1,5,CasoHEProstata_A_0467_row_38912_column_18432,CasoHEProstata_A_0467_row_38912_column_18432,train
1,1,1,0,-1,0,1,-1,-1,-1,1,1,1,1,0,6,CasoHEProstata_A_0467_row_38912_column_20480,CasoHEProstata_A_0467_row_38912_column_20480,train
-1,-1,-1,0,-1,1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0467_row_38912_column_22528,CasoHEProstata_A_0467_row_38912_column_22528,train
-1,-1,-1,-1,1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0467_row_38912_column_24576,CasoHEProstata_A_0467_row_38912_column_24576,train
1,-1,-1,-1,1,-1,2,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0467_row_38912_column_26624,CasoHEProstata_A_0467_row_38912_column_26624,train
-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0467_row_38912_column_28672,CasoHEProstata_A_0467_row_38912_column_28672,train
-1,-1,-1,-1,0,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0467_row_40960_column_112640,CasoHEProstata_A_0467_row_40960_column_112640,train
-1,1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0467_row_43008_column_110592,CasoHEProstata_A_0467_row_43008_column_110592,train
-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0467_row_43008_column_69632,CasoHEProstata_A_0467_row_43008_column_69632,train
-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0467_row_47104_column_106496,CasoHEProstata_A_0467_row_47104_column_106496,train
-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0467_row_49152_column_63488,CasoHEProstata_A_0467_row_49152_column_63488,train
1,-1,1,0,-1,0,-1,-1,-1,-1,1,1,1,0,0,4,CasoHEProstata_A_0467_row_59392_column_94208,CasoHEProstata_A_0467_row_59392_column_94208,train
0,-1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0467_row_61440_column_51200,CasoHEProstata_A_0467_row_61440_column_51200,train
-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0467_row_65536_column_6144,CasoHEProstata_A_0467_row_65536_column_6144,train
-1,0,-1,-1,0,0,1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0467_row_65536_column_8192,CasoHEProstata_A_0467_row_65536_column_8192,train
0,1,-1,-1,-1,0,2,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0468_row_12288_column_47104,CasoHEProstata_A_0468_row_12288_column_47104,train
-1,0,0,0,-1,1,2,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0468_row_14336_column_61440,CasoHEProstata_A_0468_row_14336_column_61440,train
-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0468_row_14336_column_67584,CasoHEProstata_A_0468_row_14336_column_67584,train
-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0468_row_22528_column_147456,CasoHEProstata_A_0468_row_22528_column_147456,train
1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0468_row_24576_column_151552,CasoHEProstata_A_0468_row_24576_column_151552,train
-1,1,0,0,0,2,2,-1,-1,-1,0,0,2,0,0,6,CasoHEProstata_A_0468_row_26624_column_43008,CasoHEProstata_A_0468_row_26624_column_43008,train
-1,-1,-1,0,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0468_row_32768_column_133120,CasoHEProstata_A_0468_row_32768_column_133120,train
-1,-1,-1,0,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0468_row_36864_column_157696,CasoHEProstata_A_0468_row_36864_column_157696,train
1,0,-1,-1,0,-1,2,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0468_row_36864_column_159744,CasoHEProstata_A_0468_row_36864_column_159744,train
0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0468_row_36864_column_59392,CasoHEProstata_A_0468_row_36864_column_59392,train
-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0468_row_38912_column_63488,CasoHEProstata_A_0468_row_38912_column_63488,train
-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0468_row_40960_column_71680,CasoHEProstata_A_0468_row_40960_column_71680,train
-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0470_row_10240_column_145408,CasoHEProstata_A_0470_row_10240_column_145408,train
-1,1,-1,-1,0,1,1,-1,-1,-1,1,1,1,1,1,4,CasoHEProstata_A_0470_row_16384_column_153600,CasoHEProstata_A_0470_row_16384_column_153600,train
2,-1,-1,-1,0,-1,2,-1,-1,-1,2,2,0,2,0,3,CasoHEProstata_A_0470_row_18432_column_141312,CasoHEProstata_A_0470_row_18432_column_141312,train
-1,1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0470_row_18432_column_153600,CasoHEProstata_A_0470_row_18432_column_153600,train
-1,-1,-1,2,1,1,2,-1,-1,-1,2,2,1,1,2,4,CasoHEProstata_A_0470_row_22528_column_155648,CasoHEProstata_A_0470_row_22528_column_155648,train
1,1,-1,0,0,-1,1,-1,-1,-1,1,1,1,1,0,5,CasoHEProstata_A_0470_row_24576_column_155648,CasoHEProstata_A_0470_row_24576_column_155648,train
-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0470_row_24576_column_159744,CasoHEProstata_A_0470_row_24576_column_159744,train
0,-1,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,0,4,CasoHEProstata_A_0470_row_28672_column_73728,CasoHEProstata_A_0470_row_28672_column_73728,train
1,-1,0,0,2,1,2,-1,-1,-1,2,2,1,0,0,6,CasoHEProstata_A_0470_row_30720_column_73728,CasoHEProstata_A_0470_row_30720_column_73728,train
-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,4,CasoHEProstata_A_0470_row_34816_column_73728,CasoHEProstata_A_0470_row_34816_column_73728,train
-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0470_row_34816_column_75776,CasoHEProstata_A_0470_row_34816_column_75776,train
-1,-1,-1,-1,0,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0470_row_34816_column_81920,CasoHEProstata_A_0470_row_34816_column_81920,train
-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0470_row_36864_column_61440,CasoHEProstata_A_0470_row_36864_column_61440,train
-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0470_row_36864_column_75776,CasoHEProstata_A_0470_row_36864_column_75776,train
3,-1,2,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,3,CasoHEProstata_A_0470_row_38912_column_75776,CasoHEProstata_A_0470_row_38912_column_75776,train
1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0470_row_38912_column_81920,CasoHEProstata_A_0470_row_38912_column_81920,train
-1,0,0,0,-1,-1,2,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0471_row_43008_column_30720,CasoHEProstata_A_0471_row_43008_column_30720,train
0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0471_row_45056_column_28672,CasoHEProstata_A_0471_row_45056_column_28672,train
0,0,-1,0,-1,-1,2,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0471_row_47104_column_71680,CasoHEProstata_A_0471_row_47104_column_71680,train
-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0471_row_57344_column_110592,CasoHEProstata_A_0471_row_57344_column_110592,train
-1,-1,0,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0471_row_57344_column_8192,CasoHEProstata_A_0471_row_57344_column_8192,train
0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0471_row_63488_column_22528,CasoHEProstata_A_0471_row_63488_column_22528,train
0,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0471_row_71680_column_110592,CasoHEProstata_A_0471_row_71680_column_110592,train
-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0471_row_75776_column_79872,CasoHEProstata_A_0471_row_75776_column_79872,train
0,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0471_row_77824_column_86016,CasoHEProstata_A_0471_row_77824_column_86016,train
0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0473_row_10240_column_24576,CasoHEProstata_A_0473_row_10240_column_24576,train
-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0473_row_18432_column_120832,CasoHEProstata_A_0473_row_18432_column_120832,train
2,-1,-1,0,-1,-1,-1,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0473_row_20480_column_126976,CasoHEProstata_A_0473_row_20480_column_126976,train
0,0,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0473_row_20480_column_133120,CasoHEProstata_A_0473_row_20480_column_133120,train
1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0473_row_30720_column_34816,CasoHEProstata_A_0473_row_30720_column_34816,train
0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0473_row_45056_column_147456,CasoHEProstata_A_0473_row_45056_column_147456,train
-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0474_row_20480_column_122880,CasoHEProstata_A_0474_row_20480_column_122880,train
-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0474_row_22528_column_151552,CasoHEProstata_A_0474_row_22528_column_151552,train
-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0474_row_34816_column_63488,CasoHEProstata_A_0474_row_34816_column_63488,train
0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0474_row_36864_column_139264,CasoHEProstata_A_0474_row_36864_column_139264,train
-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0474_row_57344_column_69632,CasoHEProstata_A_0474_row_57344_column_69632,train
-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0474_row_69632_column_126976,CasoHEProstata_A_0474_row_69632_column_126976,train
0,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0476_row_12288_column_8192,CasoHEProstata_A_0476_row_12288_column_8192,train
-1,-1,-1,-1,-1,0,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0476_row_18432_column_10240,CasoHEProstata_A_0476_row_18432_column_10240,train
-1,-1,0,-1,0,-1,2,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0476_row_18432_column_8192,CasoHEProstata_A_0476_row_18432_column_8192,train
2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0476_row_20480_column_120832,CasoHEProstata_A_0476_row_20480_column_120832,train
-1,-1,0,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0476_row_22528_column_98304,CasoHEProstata_A_0476_row_22528_column_98304,train
-1,0,0,0,0,0,2,-1,-1,-1,0,0,0,0,0,6,CasoHEProstata_A_0476_row_26624_column_8192,CasoHEProstata_A_0476_row_26624_column_8192,train
-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0476_row_26624_column_98304,CasoHEProstata_A_0476_row_26624_column_98304,train
0,0,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0476_row_28672_column_98304,CasoHEProstata_A_0476_row_28672_column_98304,train
-1,-1,0,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,2,CasoHEProstata_A_0476_row_36864_column_8192,CasoHEProstata_A_0476_row_36864_column_8192,train
0,0,-1,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0476_row_38912_column_8192,CasoHEProstata_A_0476_row_38912_column_8192,train
2,0,-1,-1,-1,-1,3,-1,-1,-1,3,3,0,0,2,3,CasoHEProstata_A_0476_row_43008_column_34816,CasoHEProstata_A_0476_row_43008_column_34816,train
2,0,-1,-1,0,-1,2,-1,-1,-1,2,2,0,0,0,4,CasoHEProstata_A_0476_row_43008_column_6144,CasoHEProstata_A_0476_row_43008_column_6144,train
0,0,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0476_row_45056_column_98304,CasoHEProstata_A_0476_row_45056_column_98304,train
0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0476_row_47104_column_98304,CasoHEProstata_A_0476_row_47104_column_98304,train
0,-1,-1,-1,-1,0,2,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0476_row_53248_column_4096,CasoHEProstata_A_0476_row_53248_column_4096,train
0,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0476_row_55296_column_4096,CasoHEProstata_A_0476_row_55296_column_4096,train
2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0476_row_57344_column_98304,CasoHEProstata_A_0476_row_57344_column_98304,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_14336_column_126976,CasoHEProstata_A_0477_row_14336_column_126976,train
-1,1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_20480_column_18432,CasoHEProstata_A_0477_row_20480_column_18432,train
2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0477_row_22528_column_102400,CasoHEProstata_A_0477_row_22528_column_102400,train
3,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_22528_column_92160,CasoHEProstata_A_0477_row_22528_column_92160,train
1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0477_row_24576_column_26624,CasoHEProstata_A_0477_row_24576_column_26624,train
2,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_24576_column_28672,CasoHEProstata_A_0477_row_24576_column_28672,train
3,-1,2,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,2,2,CasoHEProstata_A_0477_row_26624_column_167936,CasoHEProstata_A_0477_row_26624_column_167936,train
3,-1,0,-1,-1,-1,-1,-1,-1,-1,3,3,3,0,0,2,CasoHEProstata_A_0477_row_26624_column_18432,CasoHEProstata_A_0477_row_26624_column_18432,train
3,-1,0,-1,-1,-1,-1,-1,-1,-1,3,3,3,0,0,2,CasoHEProstata_A_0477_row_28672_column_30720,CasoHEProstata_A_0477_row_28672_column_30720,train
1,2,0,-1,-1,-1,3,-1,-1,-1,3,3,2,0,0,4,CasoHEProstata_A_0477_row_28672_column_94208,CasoHEProstata_A_0477_row_28672_column_94208,train
0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0477_row_30720_column_104448,CasoHEProstata_A_0477_row_30720_column_104448,train
3,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_32768_column_30720,CasoHEProstata_A_0477_row_32768_column_30720,train
0,-1,2,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,2,2,CasoHEProstata_A_0477_row_34816_column_116736,CasoHEProstata_A_0477_row_34816_column_116736,train
2,1,2,0,-1,-1,-1,-1,-1,-1,2,2,2,2,0,4,CasoHEProstata_A_0477_row_34816_column_118784,CasoHEProstata_A_0477_row_34816_column_118784,train
0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_34816_column_28672,CasoHEProstata_A_0477_row_34816_column_28672,train
-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_38912_column_167936,CasoHEProstata_A_0477_row_38912_column_167936,train
0,0,-1,-1,0,-1,2,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0477_row_38912_column_30720,CasoHEProstata_A_0477_row_38912_column_30720,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_43008_column_30720,CasoHEProstata_A_0477_row_43008_column_30720,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_45056_column_178176,CasoHEProstata_A_0477_row_45056_column_178176,train
-1,1,-1,0,0,0,2,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0477_row_45056_column_34816,CasoHEProstata_A_0477_row_45056_column_34816,train
0,0,-1,-1,-1,-1,2,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_45056_column_98304,CasoHEProstata_A_0477_row_45056_column_98304,train
1,-1,1,0,-1,-1,1,-1,-1,-1,1,1,1,1,0,4,CasoHEProstata_A_0477_row_49152_column_24576,CasoHEProstata_A_0477_row_49152_column_24576,train
2,2,1,0,1,0,-1,-1,-1,-1,2,2,2,1,0,6,CasoHEProstata_A_0477_row_49152_column_96256,CasoHEProstata_A_0477_row_49152_column_96256,train
3,-1,-1,-1,-1,0,-1,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0477_row_49152_column_98304,CasoHEProstata_A_0477_row_49152_column_98304,train
-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0477_row_51200_column_22528,CasoHEProstata_A_0477_row_51200_column_22528,train
-1,2,-1,-1,2,0,2,-1,-1,-1,2,2,2,2,2,4,CasoHEProstata_A_0477_row_53248_column_22528,CasoHEProstata_A_0477_row_53248_column_22528,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0477_row_55296_column_104448,CasoHEProstata_A_0477_row_55296_column_104448,train
-1,-1,-1,0,0,-1,2,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0477_row_6144_column_94208,CasoHEProstata_A_0477_row_6144_column_94208,train
-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0477_row_65536_column_169984,CasoHEProstata_A_0477_row_65536_column_169984,train
0,1,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0477_row_67584_column_169984,CasoHEProstata_A_0477_row_67584_column_169984,train
-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0477_row_8192_column_18432,CasoHEProstata_A_0477_row_8192_column_18432,train
2,-1,-1,-1,-1,0,2,-1,-1,-1,2,2,0,2,0,3,CasoHEProstata_A_0477_row_8192_column_92160,CasoHEProstata_A_0477_row_8192_column_92160,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0478_row_22528_column_38912,CasoHEProstata_A_0478_row_22528_column_38912,train
0,-1,-1,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0478_row_26624_column_36864,CasoHEProstata_A_0478_row_26624_column_36864,train
0,1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0478_row_34816_column_120832,CasoHEProstata_A_0478_row_34816_column_120832,train
1,0,2,-1,0,-1,-1,-1,-1,-1,0,0,0,0,2,4,CasoHEProstata_A_0478_row_45056_column_122880,CasoHEProstata_A_0478_row_45056_column_122880,train
-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0479_row_12288_column_106496,CasoHEProstata_A_0479_row_12288_column_106496,train
0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0479_row_12288_column_98304,CasoHEProstata_A_0479_row_12288_column_98304,train
-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,4,CasoHEProstata_A_0479_row_26624_column_8192,CasoHEProstata_A_0479_row_26624_column_8192,train
0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,5,CasoHEProstata_A_0479_row_28672_column_40960,CasoHEProstata_A_0479_row_28672_column_40960,train
1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0480_row_10240_column_133120,CasoHEProstata_A_0480_row_10240_column_133120,train
-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0480_row_22528_column_43008,CasoHEProstata_A_0480_row_22528_column_43008,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0480_row_47104_column_116736,CasoHEProstata_A_0480_row_47104_column_116736,train
